Fecha	temperatura	radiacion	humedad relativa	precipitacion	velocidad viento	mojadura	direccion viento
2022-09-16	13.0	0.0	99	0.0	6.2	6	323.9
2022-09-16	13.0	0.0	99	0.0	6.8	6	258.2
2022-09-16	13.0	0.0	99	0.0	7.1	6	272.3
2022-09-16	12.9	0.0	98	0.0	8.5	7	241.0
2022-09-16	12.8	0.0	98	0.0	8.5	7	264.7
2022-09-16	12.8	0.0	98	0.0	8.0	6	301.4
2022-09-16	12.6	0.0	97	0.0	7.7	8	309.8
2022-09-16	12.5	0.0	97	0.0	7.2	9	297.4
2022-09-16	12.5	0.0	97	0.0	5.6	8	234.8
2022-09-16	12.4	0.0	97	0.0	3.9	9	348.2
2022-09-16	12.0	0.0	97	0.0	4.7	10	7.4
2022-09-16	11.5	0.0	98	0.0	4.4	10	41.7
2022-09-16	11.3	0.0	98	0.0	3.0	10	17.7
2022-09-16	11.2	0.0	98	0.0	4.8	10	27.1
2022-09-16	11.0	0.0	98	0.0	3.2	10	73.9
2022-09-16	11.0	0.0	99	0.0	2.2	10	36.7
2022-09-16	11.2	0.0	99	0.0	5.1	10	34.1
2022-09-16	11.0	0.0	99	0.0	2.6	10	66.1
2022-09-16	10.9	0.0	99	0.0	1.3	10	44.7
2022-09-16	10.8	0.0	99	0.0	3.4	10	48.7
2022-09-16	10.7	0.0	99	0.0	3.0	10	55.1
2022-09-16	10.8	0.0	99	0.0	4.4	10	98.9
2022-09-16	10.6	0.6	99	0.0	2.7	10	294.5
2022-09-16	10.5	4.0	99	0.0	1.2	10	317.0
2022-09-16	10.7	17.6	100	0.0	2.1	10	48.2
2022-09-16	11.1	39.5	100	0.0	4.0	10	19.2
2022-09-16	11.5	63.8	100	0.0	2.8	10	12.4
2022-09-16	12.0	84.0	100	0.0	3.6	10	287.6
2022-09-16	12.2	142.1	99	0.0	7.4	9	334.9
2022-09-16	12.6	184.6	99	0.0	5.5	2	311.6
2022-09-16	12.8	140.2	98	0.0	8.2	1	261.6
2022-09-16	13.0	142.1	96	0.0	7.2	1	298.8
2022-09-16	13.3	227.5	95	0.0	7.8	0	287.2
2022-09-16	13.8	279.8	92	0.0	6.5	0	325.8
2022-09-16	14.1	407.1	90	0.0	7.8	0	349.7
2022-09-16	15.2	707.0	86	0.0	8.8	0	165.2
2022-09-16	16.0	713.5	84	0.0	6.9	0	195.5
